Question,Image,A,B,C,D,E,Answer,Logic
hc_493,hc_5_q43.png,QA,QU,RA,SG,SU,QA,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_494,hc_5_q44.png,ER,GA,GL,GR,QR,ER,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_495,hc_5_q45.png,SD,SG,SJ,YG,YJ,YJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_496,hc_5_q46.png,JK,JW,MW,YK,YW,MW,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_497,hc_5_q47.png,CH,CT,NH,RA,RT,CT,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_498,hc_5_q48.png,LD,ND,NF,NT,YD,NF,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_499,hc_5_q49.png,GJ,GY,HJ,HY,PY,GJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_500,hc_5_q50.png,KE,KH,XH,XM,YH,KH,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_501,hc_5_q51.png,JE,JH,QA,QH,XA,QA,"Q12 Style: Top refers to shape, Bot refers to count"
hc_502,hc_5_q52.png,AM,JM,KH,KM,KV,AM,"Q12 Style: Top refers to shape, Bot refers to count"
hc_503,hc_5_q53.png,HE,HP,HU,JP,ZP,HE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_504,hc_5_q54.png,JK,JY,MK,SK,SY,SY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_505,hc_5_q55.png,HE,HR,VE,VW,ZE,ZE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_506,hc_5_q56.png,GB,PB,PT,PX,ST,PX,"Q12 Style: Top refers to shape, Bot refers to count"
hc_507,hc_5_q57.png,AK,BT,HK,HT,HU,HK,"Q12 Style: Top refers to shape, Bot refers to count"
hc_508,hc_5_q58.png,AZ,JY,JZ,WU,WY,JY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_509,hc_5_q59.png,GJ,GP,GQ,NP,WJ,NP,"Q12 Style: Top refers to shape, Bot refers to count"
hc_510,hc_5_q60.png,AD,FM,FW,UM,UW,UW,"Q12 Style: Top refers to shape, Bot refers to count"
hc_511,hc_5_q61.png,AV,AY,DY,KU,KV,KU,"Q12 Style: Top refers to shape, Bot refers to count"
hc_512,hc_5_q62.png,LD,LP,SD,SH,UD,SD,"Q12 Style: Top refers to shape, Bot refers to count"
hc_513,hc_5_q63.png,AN,AY,QN,WU,WY,WY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_514,hc_5_q64.png,HE,HK,HL,PE,XL,HL,"Q12 Style: Top refers to shape, Bot refers to count"
hc_515,hc_5_q65.png,AJ,AY,PJ,PY,UY,AY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_516,hc_5_q66.png,DL,DS,ES,GN,GS,DS,"Q12 Style: Top refers to shape, Bot refers to count"
hc_517,hc_5_q67.png,BE,NE,NV,UE,UV,UE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_518,hc_5_q68.png,EK,EL,QL,WL,WN,QL,"Q12 Style: Top refers to shape, Bot refers to count"
hc_519,hc_5_q69.png,KC,RC,RP,SC,SG,RC,"Q12 Style: Top refers to shape, Bot refers to count"
hc_520,hc_5_q70.png,KM,KV,SH,SM,ZV,SH,"Q12 Style: Top refers to shape, Bot refers to count"
hc_521,hc_5_q71.png,BE,BN,BS,VN,ZE,VN,"Q12 Style: Top refers to shape, Bot refers to count"
hc_522,hc_5_q72.png,RC,RX,TC,WC,WX,RC,"Q12 Style: Top refers to shape, Bot refers to count"
hc_523,hc_5_q73.png,DA,KA,KR,PA,PR,KR,"Q12 Style: Top refers to shape, Bot refers to count"
hc_524,hc_5_q74.png,AT,AV,LS,LT,NT,LS,"Q12 Style: Top refers to shape, Bot refers to count"
hc_525,hc_5_q75.png,CE,WP,WR,XP,XR,XP,"Q12 Style: Top refers to shape, Bot refers to count"
hc_526,hc_5_q76.png,AF,AG,EY,WG,WY,AF,"Q12 Style: Top refers to shape, Bot refers to count"
hc_527,hc_5_q77.png,CE,CR,SJ,SR,UJ,CE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_528,hc_5_q78.png,HR,KB,KR,LB,LG,LB,"Q12 Style: Top refers to shape, Bot refers to count"
hc_529,hc_5_q79.png,EH,EU,PH,PU,SU,PH,"Q12 Style: Top refers to shape, Bot refers to count"
hc_530,hc_5_q80.png,FT,LQ,LT,VC,VQ,FT,"Q12 Style: Top refers to shape, Bot refers to count"
hc_531,hc_5_q81.png,VK,WA,WE,YE,YK,VK,"Q12 Style: Top refers to shape, Bot refers to count"
hc_532,hc_5_q82.png,JF,JX,MF,TF,TX,JF,"Q12 Style: Top refers to shape, Bot refers to count"
hc_533,hc_5_q83.png,AE,AG,AR,BE,XE,BE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_534,hc_5_q84.png,HE,HX,JE,JX,ME,HX,"Q12 Style: Top refers to shape, Bot refers to count"
hc_535,hc_5_q85.png,CP,CT,ET,EX,RX,ET,"Q12 Style: Top refers to shape, Bot refers to count"
hc_536,hc_5_q86.png,GR,LB,LE,WB,WR,LE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_537,hc_5_q87.png,AL,AX,BL,BW,QL,BW,"Q12 Style: Top refers to shape, Bot refers to count"
hc_538,hc_5_q88.png,AP,AX,NX,TE,TP,TE,"Q12 Style: Top refers to shape, Bot refers to count"
hc_539,hc_5_q89.png,BK,BN,BR,YN,ZN,YN,"Q12 Style: Top refers to shape, Bot refers to count"
hc_540,hc_5_q90.png,GX,GY,JY,TX,TY,GY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_541,hc_5_q91.png,EQ,EZ,FZ,RQ,RZ,EQ,"Q12 Style: Top refers to shape, Bot refers to count"
hc_542,hc_5_q92.png,RQ,RU,RZ,SQ,SZ,SQ,"Q12 Style: Top refers to shape, Bot refers to count"
hc_543,hc_5_q93.png,FJ,FY,KJ,KY,PD,KY,"Q12 Style: Top refers to shape, Bot refers to count"
hc_544,hc_5_q94.png,BK,QD,QH,QK,YK,BK,"Q12 Style: Top refers to shape, Bot refers to count"
hc_545,hc_5_q95.png,GD,GZ,TZ,XD,XM,XD,"Q12 Style: Top refers to shape, Bot refers to count"
hc_546,hc_5_q96.png,ML,MV,UL,YL,YV,UL,"Q12 Style: Top refers to shape, Bot refers to count"
hc_547,hc_5_q97.png,BH,BU,BY,NH,NU,BH,"Q12 Style: Top refers to shape, Bot refers to count"
hc_548,hc_5_q98.png,CS,ES,EU,EV,TV,EV,"Q12 Style: Top refers to shape, Bot refers to count"
hc_549,hc_5_q99.png,BU,EJ,ZF,ZJ,ZU,ZU,"Q12 Style: Top refers to shape, Bot refers to count"
hc_550,hc_5_q100.png,BW,EJ,EK,LJ,LW,EJ,"Q12 Style: Top refers to shape, Bot refers to count"
hc_551,hc_5_q101.png,KE,KP,QE,QP,TE,KP,"Q13 Style: Top refers to position, Bot refers to shade"
hc_552,hc_5_q102.png,MG,TG,TU,YG,YU,YG,"Q13 Style: Top refers to position, Bot refers to shade"
hc_553,hc_5_q103.png,LF,LG,LT,RG,RT,RG,"Q13 Style: Top refers to position, Bot refers to shade"
hc_554,hc_5_q104.png,AP,AR,AZ,CR,LP,AR,"Q13 Style: Top refers to position, Bot refers to shade"
hc_555,hc_5_q105.png,AE,AG,LY,SE,SY,SY,"Q13 Style: Top refers to position, Bot refers to shade"
hc_556,hc_5_q106.png,DA,DP,TA,TC,VC,DP,"Q13 Style: Top refers to position, Bot refers to shade"
hc_557,hc_5_q107.png,BC,BU,BV,DV,TC,TC,"Q13 Style: Top refers to position, Bot refers to shade"
hc_558,hc_5_q108.png,JL,JP,UC,UL,XP,UL,"Q13 Style: Top refers to position, Bot refers to shade"
hc_559,hc_5_q109.png,LE,VA,VE,XA,XE,XE,"Q13 Style: Top refers to position, Bot refers to shade"
hc_560,hc_5_q110.png,GL,MB,MD,UB,UL,MD,"Q13 Style: Top refers to position, Bot refers to shade"
hc_561,hc_5_q111.png,JC,LC,LZ,YC,YZ,LC,"Q13 Style: Top refers to position, Bot refers to shade"
hc_562,hc_5_q112.png,FJ,FP,UC,UP,YJ,FJ,"Q13 Style: Top refers to position, Bot refers to shade"
hc_563,hc_5_q113.png,KY,QT,ZA,ZT,ZY,QT,"Q13 Style: Top refers to position, Bot refers to shade"
hc_564,hc_5_q114.png,CL,CU,GL,GU,WL,WL,"Q13 Style: Top refers to position, Bot refers to shade"
hc_565,hc_5_q115.png,JA,JE,RA,RE,VE,VE,"Q13 Style: Top refers to position, Bot refers to shade"
hc_566,hc_5_q116.png,BX,HS,WK,WS,WX,HS,"Q13 Style: Top refers to position, Bot refers to shade"
hc_567,hc_5_q117.png,CF,CK,JE,JF,TE,CF,"Q13 Style: Top refers to position, Bot refers to shade"
hc_568,hc_5_q118.png,DF,DT,DW,PT,PW,PW,"Q13 Style: Top refers to position, Bot refers to shade"
hc_569,hc_5_q119.png,HJ,HY,PJ,PU,QY,PJ,"Q13 Style: Top refers to position, Bot refers to shade"
hc_570,hc_5_q120.png,BF,BK,BR,HR,MF,MF,"Q13 Style: Top refers to position, Bot refers to shade"
hc_571,hc_5_q121.png,QJ,VD,VT,XD,XT,VD,"Q13 Style: Top refers to position, Bot refers to shade"
hc_572,hc_5_q122.png,FP,FX,GA,RP,RX,RX,"Q13 Style: Top refers to position, Bot refers to shade"
hc_573,hc_5_q123.png,LA,LG,TA,VA,VX,LG,"Q13 Style: Top refers to position, Bot refers to shade"
hc_574,hc_5_q124.png,FW,FY,HQ,HW,HY,FW,"Q13 Style: Top refers to position, Bot refers to shade"
hc_575,hc_5_q125.png,KC,TC,TJ,YB,YJ,KC,"Q13 Style: Top refers to position, Bot refers to shade"
hc_576,hc_5_q126.png,BW,HD,HX,RD,RW,RD,"Q13 Style: Top refers to position, Bot refers to shade"
hc_577,hc_5_q127.png,FT,ND,NH,NT,XH,NH,"Q13 Style: Top refers to position, Bot refers to shade"
hc_578,hc_5_q128.png,BP,BU,JR,XP,XU,XU,"Q13 Style: Top refers to position, Bot refers to shade"
hc_579,hc_5_q129.png,NB,NT,NZ,WB,WT,NT,"Q13 Style: Top refers to position, Bot refers to shade"
hc_580,hc_5_q130.png,GX,RK,RX,TK,TX,RK,"Q13 Style: Top refers to position, Bot refers to shade"
hc_581,hc_5_q131.png,ED,EP,JD,JQ,WQ,ED,"Q13 Style: Top refers to position, Bot refers to shade"
hc_582,hc_5_q132.png,YH,YN,ZH,ZN,ZX,YH,"Q13 Style: Top refers to position, Bot refers to shade"
hc_583,hc_5_q133.png,CV,LN,LV,LZ,TZ,TZ,"Q13 Style: Top refers to position, Bot refers to shade"
hc_584,hc_5_q134.png,SJ,WA,WJ,YA,YJ,WA,"Q13 Style: Top refers to position, Bot refers to shade"
hc_585,hc_5_q135.png,AZ,KB,KZ,YB,YZ,KB,"Q13 Style: Top refers to position, Bot refers to shade"
hc_586,hc_5_q136.png,FP,FX,MN,MP,VP,MP,"Q13 Style: Top refers to position, Bot refers to shade"
hc_587,hc_5_q137.png,JD,JY,PD,SN,SY,JY,"Q13 Style: Top refers to position, Bot refers to shade"
hc_588,hc_5_q138.png,NA,NH,RA,TH,TM,NH,"Q13 Style: Top refers to position, Bot refers to shade"
hc_589,hc_5_q139.png,DB,DQ,RB,RQ,RS,RB,"Q13 Style: Top refers to position, Bot refers to shade"
hc_590,hc_5_q140.png,FC,MA,MQ,XA,XQ,FC,"Q13 Style: Top refers to position, Bot refers to shade"
hc_591,hc_5_q141.png,CA,JA,JB,UA,UB,JB,"Q13 Style: Top refers to position, Bot refers to shade"
hc_592,hc_5_q142.png,AP,GN,GP,VN,VP,GP,"Q13 Style: Top refers to position, Bot refers to shade"
hc_593,hc_5_q143.png,EH,JL,JW,KL,KW,JL,"Q13 Style: Top refers to position, Bot refers to shade"
hc_594,hc_5_q144.png,BN,BX,LC,LN,WX,WX,"Q13 Style: Top refers to position, Bot refers to shade"
hc_595,hc_5_q145.png,LR,LY,MT,PR,PT,LY,"Q13 Style: Top refers to position, Bot refers to shade"
hc_596,hc_5_q146.png,AB,HB,HT,MT,MX,AB,"Q13 Style: Top refers to position, Bot refers to shade"
hc_597,hc_5_q147.png,DA,DB,PA,PB,PL,DA,"Q13 Style: Top refers to position, Bot refers to shade"
hc_598,hc_5_q148.png,GH,GP,WH,WU,XU,XU,"Q13 Style: Top refers to position, Bot refers to shade"
hc_599,hc_5_q149.png,CM,EF,GF,GM,GP,GM,"Q13 Style: Top refers to position, Bot refers to shade"
hc_600,hc_5_q150.png,JB,JW,RB,VD,VW,JB,"Q13 Style: Top refers to position, Bot refers to shade"
hc_601,hc_6_q1.png,GE,GN,PE,PN,UE,UE,"Q14 Style: Top=black_pos, Bot=shape"
hc_602,hc_6_q2.png,JF,JG,PX,YF,YX,JF,"Q14 Style: Top=black_pos, Bot=shape"
hc_603,hc_6_q3.png,CB,CW,MB,MR,VW,MR,"Q14 Style: Top=black_pos, Bot=shape"
hc_604,hc_6_q4.png,GZ,JP,JZ,QF,QZ,QF,"Q14 Style: Top=black_pos, Bot=shape"
hc_605,hc_6_q5.png,KW,TR,UA,UR,UW,UA,"Q14 Style: Top=black_pos, Bot=shape"
hc_606,hc_6_q6.png,DC,DQ,HL,NL,NQ,DQ,"Q14 Style: Top=black_pos, Bot=shape"
hc_607,hc_6_q7.png,AS,TG,TW,ZS,ZW,TG,"Q14 Style: Top=black_pos, Bot=shape"
hc_608,hc_6_q8.png,UP,XN,XP,YP,YZ,YP,"Q14 Style: Top=black_pos, Bot=shape"
hc_609,hc_6_q9.png,AZ,JN,JZ,SG,SZ,JZ,"Q14 Style: Top=black_pos, Bot=shape"
hc_610,hc_6_q10.png,ES,QL,QS,QY,XY,QS,"Q14 Style: Top=black_pos, Bot=shape"
hc_611,hc_6_q11.png,CF,CP,CR,MF,MP,CR,"Q14 Style: Top=black_pos, Bot=shape"
hc_612,hc_6_q12.png,DB,LG,XB,XG,XM,DB,"Q14 Style: Top=black_pos, Bot=shape"
hc_613,hc_6_q13.png,EG,EP,LP,VG,VP,LP,"Q14 Style: Top=black_pos, Bot=shape"
hc_614,hc_6_q14.png,CB,CG,NQ,SB,SG,CG,"Q14 Style: Top=black_pos, Bot=shape"
hc_615,hc_6_q15.png,MC,TC,TG,TP,UP,TC,"Q14 Style: Top=black_pos, Bot=shape"
hc_616,hc_6_q16.png,JA,JG,JH,NA,NH,JH,"Q14 Style: Top=black_pos, Bot=shape"
hc_617,hc_6_q17.png,FC,FN,HC,YN,YW,HC,"Q14 Style: Top=black_pos, Bot=shape"
hc_618,hc_6_q18.png,AU,AW,CW,GQ,GW,GW,"Q14 Style: Top=black_pos, Bot=shape"
hc_619,hc_6_q19.png,RG,RZ,UG,XC,XZ,RG,"Q14 Style: Top=black_pos, Bot=shape"
hc_620,hc_6_q20.png,DG,MG,MP,MR,TG,DG,"Q14 Style: Top=black_pos, Bot=shape"
hc_621,hc_6_q21.png,BQ,DG,DQ,EA,EG,EG,"Q14 Style: Top=black_pos, Bot=shape"
hc_622,hc_6_q22.png,DB,DK,DP,FB,FP,FP,"Q14 Style: Top=black_pos, Bot=shape"
hc_623,hc_6_q23.png,EL,NL,NP,QL,QV,NL,"Q14 Style: Top=black_pos, Bot=shape"
hc_624,hc_6_q24.png,BM,CD,CM,CX,KD,KD,"Q14 Style: Top=black_pos, Bot=shape"
hc_625,hc_6_q25.png,CB,CU,DQ,RQ,RU,RQ,"Q14 Style: Top=black_pos, Bot=shape"
hc_626,hc_6_q26.png,JX,UH,UX,UZ,WX,WX,"Q14 Style: Top=black_pos, Bot=shape"
hc_627,hc_6_q27.png,GM,GW,QM,QP,QW,QW,"Q14 Style: Top=black_pos, Bot=shape"
hc_628,hc_6_q28.png,EG,EJ,EN,YG,YJ,EG,"Q14 Style: Top=black_pos, Bot=shape"
hc_629,hc_6_q29.png,DG,DU,EG,EU,JG,DU,"Q14 Style: Top=black_pos, Bot=shape"
hc_630,hc_6_q30.png,ND,NM,VD,VM,VS,NM,"Q14 Style: Top=black_pos, Bot=shape"
hc_631,hc_6_q31.png,EQ,EZ,VQ,WQ,WZ,EZ,"Q14 Style: Top=black_pos, Bot=shape"
hc_632,hc_6_q32.png,AB,AL,FB,FW,KB,AB,"Q14 Style: Top=black_pos, Bot=shape"
hc_633,hc_6_q33.png,VK,VQ,VX,YK,YX,YK,"Q14 Style: Top=black_pos, Bot=shape"
hc_634,hc_6_q34.png,CA,CS,CY,JS,XY,CS,"Q14 Style: Top=black_pos, Bot=shape"
hc_635,hc_6_q35.png,LM,UY,ZM,ZT,ZY,ZY,"Q14 Style: Top=black_pos, Bot=shape"
hc_636,hc_6_q36.png,HD,HX,HY,RX,ZD,RX,"Q14 Style: Top=black_pos, Bot=shape"
hc_637,hc_6_q37.png,LA,QA,QP,VA,VY,VY,"Q14 Style: Top=black_pos, Bot=shape"
hc_638,hc_6_q38.png,HX,KU,KV,QU,QX,KV,"Q14 Style: Top=black_pos, Bot=shape"
hc_639,hc_6_q39.png,LY,QK,QY,WE,WY,WE,"Q14 Style: Top=black_pos, Bot=shape"
hc_640,hc_6_q40.png,JA,JL,NQ,XL,XQ,XQ,"Q14 Style: Top=black_pos, Bot=shape"
hc_641,hc_6_q41.png,GT,KA,KC,UA,UC,KA,"Q14 Style: Top=black_pos, Bot=shape"
hc_642,hc_6_q42.png,EB,EM,GB,GM,LB,EM,"Q14 Style: Top=black_pos, Bot=shape"
hc_643,hc_6_q43.png,KC,KR,TF,TR,VF,TR,"Q14 Style: Top=black_pos, Bot=shape"
hc_644,hc_6_q44.png,BA,BF,QA,RF,RU,BA,"Q14 Style: Top=black_pos, Bot=shape"
hc_645,hc_6_q45.png,KL,KY,SL,ZL,ZY,KY,"Q14 Style: Top=black_pos, Bot=shape"
hc_646,hc_6_q46.png,FB,FU,NB,NY,TU,FU,"Q14 Style: Top=black_pos, Bot=shape"
hc_647,hc_6_q47.png,PS,UA,UG,YG,YS,YG,"Q14 Style: Top=black_pos, Bot=shape"
hc_648,hc_6_q48.png,PG,PM,PN,WG,WN,PN,"Q14 Style: Top=black_pos, Bot=shape"
hc_649,hc_6_q49.png,ET,JV,SM,ST,SV,ET,"Q14 Style: Top=black_pos, Bot=shape"
hc_650,hc_6_q50.png,DA,DB,UA,ZA,ZB,DA,"Q14 Style: Top=black_pos, Bot=shape"
hc_651,hc_6_q51.png,HC,HN,TC,VD,VN,VD,"Q15 Style: Top=line_style, Bot=quadrant"
hc_652,hc_6_q52.png,AS,RK,RS,RY,WS,RS,"Q15 Style: Top=line_style, Bot=quadrant"
hc_653,hc_6_q53.png,AM,AX,AY,EX,KX,AX,"Q15 Style: Top=line_style, Bot=shape"
hc_654,hc_6_q54.png,QC,QV,TV,XC,XJ,XJ,"Q15 Style: Top=line_style, Bot=shape"
hc_655,hc_6_q55.png,LN,LS,RN,RS,US,US,"Q15 Style: Top=line_style, Bot=quadrant"
hc_656,hc_6_q56.png,CN,VN,VP,YJ,YP,VN,"Q15 Style: Top=line_style, Bot=quadrant"
hc_657,hc_6_q57.png,CE,CH,TE,WE,WH,CH,"Q15 Style: Top=line_style, Bot=quadrant"
hc_658,hc_6_q58.png,ES,EZ,TZ,YS,YZ,TZ,"Q15 Style: Top=line_style, Bot=quadrant"
hc_659,hc_6_q59.png,EQ,EV,EZ,RZ,UZ,UZ,"Q15 Style: Top=line_style, Bot=shape"
hc_660,hc_6_q60.png,HQ,HW,VB,VQ,VW,VB,"Q15 Style: Top=line_style, Bot=shape"
hc_661,hc_6_q61.png,BD,BE,CD,CM,YM,BD,"Q15 Style: Top=line_style, Bot=shape"
hc_662,hc_6_q62.png,HB,HX,QB,QC,RX,HX,"Q15 Style: Top=line_style, Bot=quadrant"
hc_663,hc_6_q63.png,CP,CY,DP,DY,KY,CY,"Q15 Style: Top=line_style, Bot=shape"
hc_664,hc_6_q64.png,NF,NX,PA,ZA,ZF,ZA,"Q15 Style: Top=line_style, Bot=quadrant"
hc_665,hc_6_q65.png,DG,DK,DQ,VG,WK,VG,"Q15 Style: Top=line_style, Bot=shape"
hc_666,hc_6_q66.png,UM,UT,UX,ZT,ZX,UT,"Q15 Style: Top=line_style, Bot=quadrant"
hc_667,hc_6_q67.png,BX,NH,NS,VS,VX,BX,"Q15 Style: Top=line_style, Bot=quadrant"
hc_668,hc_6_q68.png,JB,JL,JQ,PB,PL,PB,"Q15 Style: Top=line_style, Bot=shape"
hc_669,hc_6_q69.png,EX,TS,UB,US,UX,EX,"Q15 Style: Top=line_style, Bot=quadrant"
hc_670,hc_6_q70.png,KQ,RL,RQ,XM,XQ,XM,"Q15 Style: Top=line_style, Bot=quadrant"
hc_671,hc_6_q71.png,MG,MZ,PG,PK,PZ,PG,"Q15 Style: Top=line_style, Bot=quadrant"
hc_672,hc_6_q72.png,BK,BZ,NP,UK,UP,NP,"Q15 Style: Top=line_style, Bot=quadrant"
hc_673,hc_6_q73.png,EC,EF,JC,JF,JW,EC,"Q15 Style: Top=line_style, Bot=quadrant"
hc_674,hc_6_q74.png,PR,SU,WR,WU,WX,SU,"Q15 Style: Top=line_style, Bot=quadrant"
hc_675,hc_6_q75.png,GT,PT,PU,VT,VU,GT,"Q15 Style: Top=line_style, Bot=shape"
hc_676,hc_6_q76.png,AC,AJ,GC,GV,KC,GV,"Q15 Style: Top=line_style, Bot=shape"
hc_677,hc_6_q77.png,EF,ET,KQ,KT,MT,ET,"Q15 Style: Top=line_style, Bot=quadrant"
hc_678,hc_6_q78.png,BJ,CM,NE,NJ,NM,BJ,"Q15 Style: Top=line_style, Bot=quadrant"
hc_679,hc_6_q79.png,KN,KT,PN,YN,YT,KN,"Q15 Style: Top=line_style, Bot=quadrant"
hc_680,hc_6_q80.png,AN,AY,GN,GR,WY,GN,"Q15 Style: Top=line_style, Bot=quadrant"
hc_681,hc_6_q81.png,AX,AY,NX,WL,WY,NX,"Q15 Style: Top=line_style, Bot=quadrant"
hc_682,hc_6_q82.png,PD,PJ,XD,ZD,ZJ,ZD,"Q15 Style: Top=line_style, Bot=quadrant"
hc_683,hc_6_q83.png,PM,WM,XJ,XK,XM,WM,"Q15 Style: Top=line_style, Bot=quadrant"
hc_684,hc_6_q84.png,AF,AQ,GF,GM,GQ,GF,"Q15 Style: Top=line_style, Bot=quadrant"
hc_685,hc_6_q85.png,AF,AG,RF,ZB,ZG,AF,"Q15 Style: Top=line_style, Bot=quadrant"
hc_686,hc_6_q86.png,AB,AL,GL,VB,VL,VB,"Q15 Style: Top=line_style, Bot=quadrant"
hc_687,hc_6_q87.png,BQ,BW,FG,FW,UQ,FG,"Q15 Style: Top=line_style, Bot=shape"
hc_688,hc_6_q88.png,ME,MR,PE,PK,PR,MR,"Q15 Style: Top=line_style, Bot=quadrant"
hc_689,hc_6_q89.png,BL,BN,KL,KN,WV,BN,"Q15 Style: Top=line_style, Bot=shape"
hc_690,hc_6_q90.png,DG,PG,PX,UG,UX,UG,"Q15 Style: Top=line_style, Bot=shape"
hc_691,hc_6_q91.png,AW,AX,AZ,FW,FX,AW,"Q15 Style: Top=line_style, Bot=quadrant"
hc_692,hc_6_q92.png,HL,HM,HW,JM,JW,HL,"Q15 Style: Top=line_style, Bot=quadrant"
hc_693,hc_6_q93.png,JG,JR,QD,SG,SR,SR,"Q15 Style: Top=line_style, Bot=shape"
hc_694,hc_6_q94.png,FS,FT,KS,KT,KX,KS,"Q15 Style: Top=line_style, Bot=quadrant"
hc_695,hc_6_q95.png,HE,HT,HV,QT,QV,HE,"Q15 Style: Top=line_style, Bot=quadrant"
hc_696,hc_6_q96.png,CU,CY,PU,WU,WV,CU,"Q15 Style: Top=line_style, Bot=quadrant"
hc_697,hc_6_q97.png,FK,FV,NK,NW,TW,NW,"Q15 Style: Top=line_style, Bot=quadrant"
hc_698,hc_6_q98.png,GP,KP,KU,ST,SU,SU,"Q15 Style: Top=line_style, Bot=shape"
hc_699,hc_6_q99.png,AK,DH,DS,TH,TS,DH,"Q15 Style: Top=line_style, Bot=shape"
hc_700,hc_6_q100.png,DF,GA,GF,HF,HT,DF,"Q15 Style: Top=line_style, Bot=shape"
hc_701,hc_7_q1.png,ED,EH,TC,TD,ZC,TD,"Q16 Style: Top=position, Bot=inner_shape"
hc_702,hc_7_q2.png,SA,SB,SH,YA,YB,YB,"Q16 Style: Top=position, Bot=inner_shape"
hc_703,hc_7_q3.png,DK,DM,TM,XM,XU,XU,"Q16 Style: Top=position, Bot=inner_shape"
hc_704,hc_7_q4.png,QC,QE,QG,WC,WG,QG,"Q16 Style: Top=position, Bot=inner_shape"
hc_705,hc_7_q5.png,AL,AR,DR,DS,GS,AL,"Q16 Style: Top=position, Bot=inner_shape"
hc_706,hc_7_q6.png,KC,KQ,UQ,WQ,WX,WX,"Q16 Style: Top=position, Bot=inner_shape"
hc_707,hc_7_q7.png,GE,GM,HM,LE,LY,HM,"Q16 Style: Top=position, Bot=inner_shape"
hc_708,hc_7_q8.png,HE,HT,VE,VQ,VT,HT,"Q16 Style: Top=position, Bot=inner_shape"
hc_709,hc_7_q9.png,LB,LC,MB,SC,SU,MB,"Q16 Style: Top=position, Bot=inner_shape"
hc_710,hc_7_q10.png,CL,CU,CV,JL,JV,CL,"Q16 Style: Top=position, Bot=inner_shape"
hc_711,hc_7_q11.png,LC,LW,NC,NW,RC,NC,"Q16 Style: Top=position, Bot=inner_shape"
hc_712,hc_7_q12.png,GY,GZ,PY,UY,UZ,GZ,"Q16 Style: Top=position, Bot=inner_shape"
hc_713,hc_7_q13.png,LF,LG,PD,PF,PG,PD,"Q16 Style: Top=position, Bot=inner_shape"
hc_714,hc_7_q14.png,MK,SK,SW,VR,VW,VR,"Q16 Style: Top=position, Bot=inner_shape"
hc_715,hc_7_q15.png,DA,DX,DZ,EX,EZ,DZ,"Q16 Style: Top=position, Bot=inner_shape"
hc_716,hc_7_q16.png,CV,HM,HV,HZ,WM,HV,"Q16 Style: Top=position, Bot=inner_shape"
hc_717,hc_7_q17.png,DV,DY,FV,KV,KW,KW,"Q16 Style: Top=position, Bot=inner_shape"
hc_718,hc_7_q18.png,LA,LN,MA,MN,RA,RA,"Q16 Style: Top=position, Bot=inner_shape"
hc_719,hc_7_q19.png,BL,BM,BN,KN,QL,BM,"Q16 Style: Top=position, Bot=inner_shape"
hc_720,hc_7_q20.png,NS,RS,ZS,ZT,ZW,NS,"Q16 Style: Top=position, Bot=inner_shape"
hc_721,hc_7_q21.png,EF,EV,LF,LK,ZK,LK,"Q16 Style: Top=position, Bot=inner_shape"
hc_722,hc_7_q22.png,GA,GE,GL,WA,ZL,ZL,"Q16 Style: Top=position, Bot=inner_shape"
hc_723,hc_7_q23.png,EP,ER,FP,GD,GR,EP,"Q16 Style: Top=position, Bot=inner_shape"
hc_724,hc_7_q24.png,CH,CM,DH,DM,ZH,CH,"Q16 Style: Top=position, Bot=inner_shape"
hc_725,hc_7_q25.png,FD,FE,FG,ND,NE,ND,"Q16 Style: Top=position, Bot=inner_shape"
hc_726,hc_7_q26.png,EK,EX,NB,NK,WB,NB,"Q16 Style: Top=position, Bot=inner_shape"
hc_727,hc_7_q27.png,FT,NU,ZL,ZT,ZU,ZL,"Q16 Style: Top=position, Bot=inner_shape"
hc_728,hc_7_q28.png,LK,MK,MQ,TK,TQ,MQ,"Q16 Style: Top=position, Bot=inner_shape"
hc_729,hc_7_q29.png,KH,TH,TR,WA,WH,TR,"Q16 Style: Top=position, Bot=inner_shape"
hc_730,hc_7_q30.png,JC,JL,ML,MT,WL,JC,"Q16 Style: Top=position, Bot=inner_shape"
hc_731,hc_7_q31.png,ET,EY,PW,ST,SY,PW,"Q16 Style: Top=position, Bot=inner_shape"
